month,region,????,?????,????,???????,????,?????,????,???????,????
2012?,??,"2,142,226",8.3,"9,319,240,852",-10.4,"1,385,126",-5.9,"4,206,215,653",15.2,"757,100"
2012?1?,??,"127,406",-11.8,"756,495,893",-18.9,"105,553",5.2,"252,625,328",58.8,"21,853"
2012?2?,??,"290,100",7.7,"1,524,879,645",-17.7,"222,173",14.0,"628,505,775",60.0,"67,927"
2012?3?,??,"464,568",7.2,"2,189,712,061",-21.3,"335,504",2.0,"948,431,118",28.5,"129,064"
2012?4?,??,"644,422",8.6,"3,048,198,023",-13.5,"451,212",-0.8,"1,281,705,496",23.5,"193,210"
2012?5?,??,"822,713",9.1,"3,990,343,413",-5.7,"586,047",-0.8,"1,692,529,482",18.6,"236,666"
2012?6?,??,"999,116",8.6,"4,902,972,284",-0.3,"703,206",-0.3,"2,051,311,979",25.2,"295,910"
2012?7?,??,"1,175,537",8.8,"5,713,689,183",1.6,"828,331",0.1,"2,552,000,277",26.5,"347,206"
2012?8?,??,"1,363,788",8.3,"6,358,747,940",-2.4,"953,563",0.0,"2,970,070,304",27.2,"410,225"
2012?9?,??,"1,560,038",8.5,"7,257,637,344",-4.7,"1,059,665",-0.4,"3,318,985,372",29.6,"500,373"
2012?10?,??,"1,743,592",7.2,"7,997,806,209",-7.0,"1,162,615",-2.7,"3,570,688,225",21.9,"580,977"
2012?11?,??,"1,951,094",8.6,"8,732,584,804",-7.8,"1,279,097",-3.7,"3,907,751,545",20.9,"671,997"
2012?12?,??,"2,142,226",8.3,"9,319,240,852",-10.4,"1,385,126",-5.9,"4,206,215,653",15.2,"757,100"
2011?,??,"1,977,393",31.0,"10,401,695,720",30.5,"1,471,734",29.9,"3,651,595,042",41.2,"505,659"
2011?1?,??,"144,478",74.4,"933,352,318",106.7,"100,357",42.9,"159,078,686",5.3,"44,121"
2011?2?,??,"269,281",46.1,"1,853,662,220",87.4,"194,804",41.7,"392,844,575",21.4,"74,477"
2011?3?,??,"433,520",43.2,"2,781,195,805",64.0,"328,891",48.3,"737,918,152",38.6,"104,629"
2011?4?,??,"593,489",41.2,"3,525,262,318",59.4,"454,930",35.3,"1,037,578,357",33.7,"138,559"
2011?5?,??,"754,129",39.2,"4,229,711,096",44.8,"590,936",33.6,"1,427,639,235",39.3,"163,193"
2011?6?,??,"919,933",36.3,"4,919,987,687",40.6,"705,484",35.5,"1,638,549,524",34.5,"214,449"
2011?7?,??,"1,080,435",36.0,"5,624,535,583",31.6,"827,363",29.3,"2,016,868,305",39.4,"253,072"
2011?8?,??,"1,259,086",38.8,"6,515,661,955",34.6,"953,363",31.4,"2,335,318,745",36.5,"305,723"
2011?9?,??,"1,438,376",38.8,"7,612,394,458",35.7,"1,064,073",28.5,"2,560,458,606",32.5,"374,303"
2011?10?,??,"1,626,166",36.8,"8,596,087,159",36.7,"1,195,326",30.3,"2,929,559,952",39.8,"430,840"
2011?11?,??,"1,797,214",35.2,"9,468,244,832",34.1,"1,328,179",29.5,"3,232,167,232",37.1,"469,035"
2011?12?,??,"1,977,393",31.0,"10,401,695,720",30.5,"1,471,734",29.9,"3,651,595,042",41.2,"505,659"
