? ?? ?????  ???????(2020=100) [2020=100],,,,,,,
??-?????,??,????(???),????? ????(???),????? ????(???),????(????),????? ????(????),????? ????(????)
??,2010.05 ?,116.433,105.087,61.619,,,
??,2010.06 ?,120.123,110.076,58.102,,,
??,2010.07 ?,117.385,104.979,62.122,,,
??,2010.08 ?,115.719,107.039,61.807,,,
??,2010.09 ?,123.575,113.871,62.185,,,
??,2010.10 ?,130.957,119.836,65.765,,,
??,2010.11 ?,129.29,115.281,65.074,,,
??,2010.12 ?,132.505,117.45,65.388,,,
??,2011.01 ?,128.577,117.559,63.881,,,
??,2011.02 ?,101.075,92.94,62.373,,,
??,2011.03 ?,129.528,117.342,62.436,,,
??,2011.04 ?,118.575,107.148,63.504,,,
??,2011.05 ?,111.075,100.098,63.943,,,
??,2011.06 ?,110.004,100.64,62.875,,,
??,2011.07 ?,114.647,105.63,64.886,,,
??,2011.08 ?,124.29,115.715,63.881,,,
??,2011.09 ?,131.195,122.655,66.582,,,
??,2011.10 ?,135.838,127.536,68.277,,,
??,2011.11 ?,129.647,116.257,68.026,,,
??,2011.12 ?,134.528,124.283,67.272,,,
??,2012.01 ?,120.123,110.401,65.827,,,
??,2012.02 ?,121.195,112.896,63.252,,,
??,2012.03 ?,132.981,123.089,64.823,,,
??,2012.04 ?,119.647,112.136,64.446,,,
??,2012.05 ?,118.933,110.51,64.446,,,
??,2012.06 ?,115.719,107.365,64.823,,,
??,2012.07 ?,120.242,107.256,64.697,,,
??,2012.08 ?,122.742,113.654,64.634,,,
??,2012.09 ?,126.433,115.498,66.582,,,
??,2012.10 ?,134.29,123.74,69.345,,,
??,2012.11 ?,132.862,119.294,71.795,,,
??,2012.12 ?,124.409,115.389,67.524,,,
??,2013.01 ?,120.362,110.293,67.272,,,
??,2013.02 ?,106.314,101.834,68.654,,,
??,2013.03 ?,125.242,118.318,68.466,,,
??,2013.04 ?,115.599,109.208,66.833,,,
??,2013.05 ?,112.862,99.773,67.587,,,
??,2013.06 ?,107.265,103.569,66.142,,,
??,2013.07 ?,105.122,97.496,69.534,,,
??,2013.08 ?,113.814,107.256,71.355,,,
??,2013.09 ?,122.98,113.329,72.548,,,
??,2013.10 ?,139.053,124.824,75.312,,,
??,2013.11 ?,123.575,113.98,74.371,,,
??,2013.12 ?,124.29,116.8,73.679,,,
??,2014.01 ?,116.075,106.714,91.706,,,
??,2014.02 ?,122.385,113.22,87.875,,,
??,2014.03 ?,132.505,128.079,88.001,,,
??,2014.04 ?,130.362,121.463,88.252,,,
??,2014.05 ?,116.314,109.426,88.001,,,
??,2014.06 ?,119.647,115.606,86.619,,,
??,2014.07 ?,121.909,111.919,89.383,,,
??,2014.08 ?,120.004,107.798,93.403,,,
??,2014.09 ?,132.981,117.776,101.191,,,
??,2014.10 ?,141.91,133.067,99.119,,,
??,2014.11 ?,130.362,118.644,96.48,,,
??,2014.12 ?,138.815,132.307,86.996,,,
??,2015.01 ?,115.062,106.682,89.625,,,
??,2015.02 ?,103.333,97.069,87.271,,,
??,2015.03 ?,122.469,115.475,88.84,,,
??,2015.04 ?,114.938,108.792,87.707,,,
??,2015.05 ?,110.123,107.034,87.01,,,
??,2015.06 ?,114.568,109.965,87.62,,,
??,2015.07 ?,113.704,109.613,86.748,,,
??,2015.08 ?,115.062,108.675,85.44,,,
??,2015.09 ?,136.543,130.363,82.738,,,
??,2015.10 ?,149.259,140.68,87.794,,,
??,2015.11 ?,142.469,135.873,89.015,,,
??,2015.12 ?,143.951,136.577,86.312,,,
